"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4F77DPZP","journalArticle","2022","Liu, Xiaoyi; Beysens, Daniel; Bourouina, Tarik","Water Harvesting from Air: Current Passive Approaches and Outlook","ACS Materials Letters","","","10.1021/acsmaterialslett.1c00850","https://doi.org/10.1021/acsmaterialslett.1c00850","In the context of global water scarcity, water vapor available in air is a non-negligible supplementary fresh water resource. Current and potential energetically passive procedures for improving atmospheric water harvesting (AWH) capabilities involve different strategies and dedicated materials, which are reviewed in this paper, from the perspective of morphology and wettability optimization, substrate cooling, and sorbent assistance. The advantages and limitations of different AWH strategies are respectively discussed, as well as their water harvesting performance. The various applications based on advanced AWH technologies are also demonstrated. A prospective concept of multifunctional water vapor harvesting panel based on promising cooling material, inspired by silicon-based solar energy panels, is finally proposed with a brief outlook of its advantages and challenges.","2022-05-02","2022-09-06 21:54:24","2022-09-06 21:59:03","2022-09-06 21:54:24","1003-1024","","5","4","","ACS Materials Lett.","Water Harvesting from Air","","","","","","","","","","","","ACS Publications","","Publisher: American Chemical Society","","/home/surfer/Zotero/storage/NJCTMFUE/Liu et al. - 2022 - Water Harvesting from Air Current Passive Approac.pdf; /home/surfer/Zotero/storage/GDY48RQT/acsmaterialslett.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERU3XJUN","journalArticle","2014","Raman, Aaswath P.; Anoma, Marc Abou; Zhu, Linxiao; Rephaeli, Eden; Fan, Shanhui","Passive radiative cooling below ambient air temperature under direct sunlight","Nature","","0028-0836, 1476-4687","10.1038/nature13883","http://www.nature.com/articles/nature13883","","2014-11","2022-09-06 21:57:39","2022-09-06 21:57:39","2022-09-06 21:57:39","540-544","","7528","515","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","https://sci-hub.se/10.1038/nature13883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GB5BX74J","journalArticle","2017","Londoño, Ana C.; Williams, Patrick Ryan; Hart, Megan L.","A change in landscape: Lessons learned from abandonment of ancient Wari agricultural terraces in Southern Peru","Journal of Environmental Management","","03014797","10.1016/j.jenvman.2017.01.012","https://linkinghub.elsevier.com/retrieve/pii/S0301479717300208","","2017-11","2022-09-06 21:58:25","2022-09-06 21:58:25","2022-09-06 21:58:25","532-542","","","202","","Journal of Environmental Management","A change in landscape","","","","","","","en","","","","","DOI.org (Crossref)","","","","","https://sci-hub.se/10.1016/j.jenvman.2017.01.012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SKXV27W","journalArticle","2020","Singh, Subhash C.; ElKabbash, Mohamed; Li, Zilong; Li, Xiaohan; Regmi, Bhabesh; Madsen, Matthew; Jalil, Sohail A.; Zhan, Zhibing; Zhang, Jihua; Guo, Chunlei","Solar-trackable super-wicking black metal panel for photothermal water sanitation","Nature Sustainability","","2398-9629","10.1038/s41893-020-0566-x","http://www.nature.com/articles/s41893-020-0566-x","Abstract             Solar-based water sanitation is an environmentally friendly process for obtaining clean water that requires efficient light-to-heat-to-vapour generation. Solar-driven interfacial evaporation has potential, but the inability to control interfacial evaporators for solar tracking limits efficiency at large solar zenith angles and when using optical concentration. Furthermore, clogging affects the efficiency of the device. Here, we create a super-wicking and super-light-absorbing (SWSA) aluminium surface for efficient solar-based water sanitation. The measured evaporation rate exceeds that of an ideal device operating at 100% efficiency, which we hypothesize resulted from a reduced enthalpy of vaporization within the microcapillaries. Limited solar absorber–water contact for water transport minimizes heat losses to bulk water and maximizes heat localization at the SWSA surface. The device can be mounted at any angle on a floating platform to optimize incident solar irradiance and can readily be integrated with commercial solar-thermal systems. With a design that is analogous to bifacial photovoltaic solar panels, we show a 150% increase in efficiency compared with a single-sided SWSA. Given the open capillary channels, the device surface can be easily cleaned and reused. Using the SWSA surface to purify contaminated water, we show a decrease in the level of contaminants to well below the WHO and EPA standards for drinkable water.","2020-11","2022-09-06 21:59:26","2022-09-06 21:59:26","2022-09-06 21:59:25","938-946","","11","3","","Nat Sustain","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/surfer/Zotero/storage/RQ8B7C89/Singh et al. - 2020 - Solar-trackable super-wicking black metal panel fo.pdf; ","https://sci-hub.se/10.1038/s41893-020-0566-x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FDE8CTI","journalArticle","2018","Tu, Yaodong; Wang, Ruzhu; Zhang, Yannan; Wang, Jiayun","Progress and Expectation of Atmospheric Water Harvesting","Joule","","25424351","10.1016/j.joule.2018.07.015","https://linkinghub.elsevier.com/retrieve/pii/S254243511830326X","","2018-08","2022-09-06 21:59:58","2022-09-06 21:59:58","2022-09-06 21:59:58","1452-1475","","8","2","","Joule","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/surfer/Zotero/storage/TD92HTKB/Tu et al. - 2018 - Progress and Expectation of Atmospheric Water Harv.pdf; ","https://sci-hub.se/10.1016/j.joule.2018.07.015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNXQ7GKU","journalArticle","2011","Sharan, Girja","Harvesting Dew with Radiation Cooled Condensers to Supplement Drinking Water Supply in Semi-arid","International Journal for Service Learning in Engineering, Humanitarian Engineering and Social Entrepreneurship","","1555-9033","10.24908/ijsle.v6i1.3188","https://ojs.library.queensu.ca/index.php/ijsle/article/view/3188","This paper describes the development of dew harvest systems for use in semi-arid coastal region of north-west India, chronically short of drinking water. These were developed to ameliorate drinking water problem, especially of people living near the coast where groundwater is of poor quality and surface sources scarce.  Although dew is much smaller in magnitude (20-30 mm) than the rains (300 mm) it is a more reliable source. Dew occurs over a season of seven months (October to April), rain over four (June - September). Dew nights number ~ 100, rainy days 15-20. There is much greater year to year variation in rainfall than in the dew amount. A R&D program of over four years led to development of three types of systems - condenser-on-roof (CoR), condenser-on-ground (CoG) and Roof-as-Condenser (RaC). The CoR, CoGs employ condenser made of plastic film insulated on the underside. CoRs are constructed over the roof of buildings, CoGs on open ground.  The RaCs use metal roof of buildings itself as condenser. The CoR and CoGs give higher output, require higher investment. The RaCs give lower output; require only a small investment in collection and storage.  Examples of working installation are presented.  Rain and dew seasons in the region are complementary. Although engineered specifically to harvest dew, these also harvest rain, providing varying amounts of potable water through the year. Benefits to the region, learning accrued and partnerships created in the course of work are also briefly discussed.","2011-05-08","2022-09-06 22:00:30","2022-09-06 22:00:30","2022-09-06 22:00:30","130-150","","1","6","","IJSLE","","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/surfer/Zotero/storage/HZBTFX6K/Sharan - 2011 - Harvesting Dew with Radiation Cooled Condensers to.pdf; ","https://sci-hub.se/10.24908/ijsle.v6i1.3188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VN8LAZEP","journalArticle","2020","Jarimi, Hasila; Powell, Richard; Riffat, Saffa","Review of sustainable methods for atmospheric water harvesting","International Journal of Low-Carbon Technologies","","1748-1317","10.1093/ijlct/ctz072","https://doi.org/10.1093/ijlct/ctz072","The scope of this paper is to review different types of sustainable water harvesting methods from the atmospheric fogs and dew. In this paper, we report upon the water collection performance of various fog collectors around the world. We also review technical aspects of fog collector feasibility studies and the efficiency improvements. Modern fog harvesting innovations are often bioinspired technology. Fog harvesting technology is obviously limited by global fog occurrence. In contrast, dew water harvester is available everywhere but requires a cooled condensing surface. In this review, the dew water collection systems is divided into three categories: i) dew water harvesting using radiative cooling surface, ii) solar-regenerated desiccant system and iii) active condensation technology. The key target in all these approaches is the development of an atmospheric water collector that can produce water regardless of the humidity level, geographical location, low in cost and can be made using local materials.","2020-05-18","2022-09-06 22:02:23","2022-09-06 22:02:23","2022-09-06 22:02:23","253-276","","2","15","","International Journal of Low-Carbon Technologies","","","","","","","","","","","","","Silverchair","","","","/home/surfer/Zotero/storage/8T3W2IVN/Jarimi et al. - 2020 - Review of sustainable methods for atmospheric wate.pdf; /home/surfer/Zotero/storage/J2L35W2W/5718410.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRSXB39F","journalArticle","2007","Kabeel, A.E.","Water production from air using multi-shelves solar glass pyramid system","Renewable Energy","","09601481","10.1016/j.renene.2006.01.015","https://linkinghub.elsevier.com/retrieve/pii/S0960148106000462","","2007-01","2022-09-06 22:02:41","2022-09-06 22:02:41","2022-09-06 22:02:41","157-172","","1","32","","Renewable Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","https://sci-hub.se/10.1016/j.renene.2006.01.015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UFPX4UP","journalArticle","2001","Gad, H.E; Hamed, A.M; El-Sharkawy, I.I","Application of a solar desiccant/collector system for water recovery from atmospheric air","Renewable Energy","","09601481","10.1016/S0960-1481(00)00112-9","https://linkinghub.elsevier.com/retrieve/pii/S0960148100001129","","2001-04","2022-09-06 22:03:02","2022-09-06 22:03:02","2022-09-06 22:03:02","541-556","","4","22","","Renewable Energy","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","https://sci-hub.se/10.1016/s0960-1481(00)00112-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCE5U7S7","journalArticle","2014","Malik, F T; Clement, R M; Gethin, D T; Krawszik, W; Parker, A R","Nature's moisture harvesters: a comparative review","Bioinspiration & Biomimetics","","1748-3182, 1748-3190","10.1088/1748-3182/9/3/031002","https://iopscience.iop.org/article/10.1088/1748-3182/9/3/031002","","2014-03-20","2022-09-06 22:03:19","2022-09-06 22:03:19","2022-09-06 22:03:19","031002","","3","9","","Bioinspir. Biomim.","Nature's moisture harvesters","","","","","","","","","","","","DOI.org (Crossref)","","","","","https://sci-hub.se/10.1088/1748-3182/9/3/031002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
